JUNE DATASET,,,All numbers are reported in seconds of time spent with item,,,,,,,
TESTING,Date,ID,Position N,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Treatment
,2022-06-26_NOD_DOT_10,,4,3.3,3.9,2.4,2,5.2,2.6,TI
,2022-06-26_NOD_IOT_11_test,,4,2.3,2.9,8.3,17.6,4.1,2.7,SW
,2022-06-26_NOD_DOT_12,,4,0.8,1.7,2.5,1.6,1.8,4.3,TI
,2022-06-27_NOB_IOT_19.mp4,,4,2.7,5,4.4,5,1.7,1.3,AC
,2022-06-27_NOB_DOT_20.mp4,,5,0.4,1.6,1.9,0.6,4.6,1.9,AC
,2022-06-27_NOB_IOT_21.mp4,,6,4,6.8,2.2,2.9,7.4,26.4,SW
,2022-06-27_NOB_DOT_22.mp4,,2,0.8,3.3,4.9,3.1,14.5,5.7,AC
,2022-06-27_NOB_IOT_23.mp4,,5,2.2,3,3.4,8.1,9.5,8.3,SW
,2022-06-27_NOB_DOT_24.mp4,,6,4.1,9.7,3.2,0,1.9,7.9,TI
,2022-06-11_NOB_IOT_2,,3,2.3,1.8,10.5,3.1,1.5,7.4,TI
,2022-06-11_NOB_IOT_4 ,,5,11.6,5.9,6.7,7.3,13.2,6.2,SW
,2022-06-11_NOB_IOT_6,,6,2.7,3.7,1.3,2.5,4,9.4,AC
,2022-06-11_NOB_DOT_1 ,,6,5.1,4,4.4,3.9,3.4,16.4,SW
,2022-06-11_NOB_DOT_3,,5,8.4,3.3,0.8,5.4,16.7,1.6,AC
,2022-06-11_NOB_DOT_5 ,,1,13.4,3.7,4.3,3.2,3.5,6.9,TI
,2022-06-12_NOD_IOT_14,,2,4.6,8.2,9.4,5,4.6,5.8,TI
,2022-06-12_NOD_IOT_16,,3,7.8,5.7,26.7,6.8,1,3.6,SW
,2022-06-12_NOD_IOT_18,,3,2.4,0.5,8.8,3.9,1.8,4.2,AC
,2022-06-12_NOD_DOT_13,,3,10.9,14.5,7.9,13.6,8.9,28.2,SW
,2022-06-12_NOD_DOT_15,,1,16.8,4.3,5.5,7.1,7.8,8.7,AC
,2022-06-12_NOD_DOT_17,,3,9.7,8.3,8,7.7,17,18.6,TI
,2022-06-14_NOB_IOT_1,,4,0.5,4.2,1.1,3.5,3.8,7.2,TI
,2022-06-14_NOB_IOT_3,,5,1.2,7.9,3.3,1.6,8.9,5.4,TI
,2022-06-14_NOB_DOT_2,,2,4.8,6.1,4.9,1.7,6.8,11.6,SW
,2022-06-14_NOB_DOT_6,,4,6.7,3.1,2.7,21.9,7.2,11.7,SW
,2022-06-14_NOB_DOT_4,,3,2.1,7.3,6.6,2,2.8,1.8,AC
,2022-06-14_NOB_IOT_5,,3,9.7,8.2,16.1,0,2.6,13.9,AC
,2022-06-15_NOD_DOT_16,,1,13.8,3.6,13,7.7,16.2,11.9,TI
,2022-06-15_NOD_IOT_13,,2,7.5,20.6,9.7,11.7,8.3,6,TI
,2022-06-15_NOD_IOT_15,,,0.6,0.4,0.8,3.7,1,0.9,
,2022-06-15_NOD_IOT_17,,6,5.2,5.7,6.6,11.3,9.3,18.1,AC
,2022-06-15_NOD_DOT_14,,2,4.8,7.7,4,6.3,8.6,1.8,SW
,2022-06-15_NOD_DOT_18,,4,7.8,2.3,3.7,17.1,9.7,3.9,SW
,2022-06-17_NOB_DOT_1,,1,1.7,0.9,8.4,3,7.1,0.9,AC
,2022-06-17_NOB_DOT_3,,2,12.4,10.5,9.9,7,8.8,8.2,SW
,2022-06-17_NOB_DOT_5,,1,24.6,2.3,20.5,5.2,3.4,20.8,SW
,2022-06-17_NOB_IOT_2,,4,3.7,8.9,4.9,4.5,5.9,4.7,AC
,2022-06-17_NOB_IOT_4,,5,5.1,2.8,3.4,2,16.6,6.1,TI
,2022-06-17_NOB_IOT_6,,6,2.8,1.4,2.7,5.5,3.9,8.9,TI
,2022-06-18_NOB_DOT_19,,3,8.1,5.9,15.2,8.5,2.8,12,AC
,2022-06-18_NOB_DOT_21,,1,24.5,7.9,12.5,10.5,6.8,12.9,SW
,2022-06-18_NOB_DOT_23,,3,4,2.8,6.8,6,16.1,5.2,SW
,2022-06-18_NOB_IOT_20,,2,8.2,6.4,2.5,5.3,6.1,6.3,AC
,2022-06-18_NOB_IOT_22,,3,2.3,3.9,14.9,8.7,12.2,8.9,AC
,2022-06-18_NOB_IOT_24,,3,4.4,4.2,12.7,3.6,2.9,5.2,TI
,2022-06-20_NOD_DOT_8,,5,17.3,18.6,18.2,8.4,5.2,7.2,TI
,2022-06-20_NOD_DOT_10,,4,8.6,16,8.7,7.5,2.6,3.1,SW
,2022-06-20_NOD_DOT_12,,4,9.1,2.8,7.6,15.1,10.5,10.3,AC
,2022-06-20_NOD_IOT_7,,5,2.8,9.9,9.9,19.7,23.8,10.4,SW
,2022-06-20_NOD_IOT_9,,4,16.6,6.3,16.2,18,10.4,18.3,AC
,2022-06-20_NOD_IOT_11,,4,7.6,4.7,3.2,4.2,3.4,3.3,TI
,2022-06-21_NOD_DOT_14,,5,3.9,3.8,3.5,2,5.6,7.3,TI
,2022-06-21_NOD_DOT_16,,2,7.6,7,1.7,10.2,9.8,16.6,SW
,2022-06-21_NOD_DOT_18,,5,6.4,3.8,4.2,7.5,9.5,4.2,AC
,2022-06-21_NOD_IOT_13,,4,2.3,1.6,1.2,5.3,7.2,4,SW
,2022-06-21_NOD_IOT_15,,6,18,3,3.8,13.3,9.5,10.8,AC
,2022-06-21_NOD_IOT_17,,5,4.2,3.1,3.5,4.1,10.4,3.6,TI
