Video,Animal_1 Stimulus 1 (s),Animal_1 Stimulus 2 (s),Animal_1 Stimulus 3 (s),Animal_1 Stimulus 4 (s),Animal_1 Stimulus 5 (s),Animal_1 Stimulus 6 (s),Animal_1 Stimulus 1 (% of session),Animal_1 Stimulus 2 (% of session),Animal_1 Stimulus 3 (% of session),Animal_1 Stimulus 4 (% of session),Animal_1 Stimulus 5 (% of session),Animal_1 Stimulus 6 (% of session)
2022-06-23_NOB_IOT_4,6.267,9.667,7.733,33.367,18.8,16.067,0.021,0.032,0.026,0.111,0.063,0.054
2022-06-26_NOB_DOT_6,9.433,12.733,22.767,4.3,11.333,10.5,0.031,0.042,0.076,0.014,0.038,0.035
